                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5004,                 2.4722,                  1.118,                 0.8325,                0.90545,                0.87902,                0.54696,                 1.1971,                 1.4566,                 1.0036,              0.0006637,              0.0006637,              0.0006637
                      2,                 1.3434,                 1.3234,                 1.0499,                0.95852,                0.92005,                0.97275,                0.63753,                 1.1182,                 1.1612,                 0.9962,              0.0012426,              0.0012426,              0.0012426
                      3,                 1.3099,                  1.178,                 1.0343,                0.95573,                0.94626,                0.98116,                0.64921,                 1.1047,                 1.0529,                0.97989,              0.0017334,              0.0017334,              0.0017334
                      4,                 1.2791,                 1.0607,                 1.0365,                0.94406,                0.96199,                0.98128,                0.62015,                 1.1429,                 1.0108,                0.99947,               0.001604,               0.001604,               0.001604
                      5,                 1.2312,                0.96996,                 1.0155,                 0.9563,                0.97516,                 0.9828,                0.62338,                 1.1256,                0.89575,                0.97978,               0.001472,               0.001472,               0.001472
                      6,                 1.2049,                0.94484,                 1.0028,                0.96344,                 0.9751,                 0.9836,                0.63905,                 1.0684,                0.88113,                0.95654,                0.00134,                0.00134,                0.00134
                      7,                 1.1508,                0.85223,                0.98235,                 0.9798,                0.96592,                0.99094,                0.67723,                 1.0224,                 0.7698,                0.96729,               0.001208,               0.001208,               0.001208
                      8,                 1.0886,                0.77661,                 0.9788,                0.97047,                0.97641,                0.99202,                0.68349,                 1.0245,                0.73701,                 0.9659,               0.001076,               0.001076,               0.001076
                      9,                 1.0722,                0.72924,                0.96304,                0.98809,                0.97892,                0.99308,                0.71092,                0.97521,                0.67198,                0.92429,               0.000944,               0.000944,               0.000944
                     10,                 1.0571,                0.70311,                0.94981,                0.98179,                0.98938,                0.99301,                0.71862,                0.97823,                0.66472,                0.93361,               0.000812,               0.000812,               0.000812
                     11,                 1.0379,                0.67792,                0.94741,                0.98573,                0.99605,                0.99372,                0.70216,                0.97397,                 0.6222,                  0.937,                0.00068,                0.00068,                0.00068
                     12,                 1.0279,                0.64168,                0.93966,                0.98701,                 0.9882,                0.99452,                0.73513,                0.89333,                0.57857,                0.91198,               0.000548,               0.000548,               0.000548
                     13,                0.96357,                0.61302,                0.91855,                0.98792,                0.99345,                 0.9941,                0.74401,                0.90547,                 0.5704,                0.90365,               0.000416,               0.000416,               0.000416
                     14,                0.96006,                0.58755,                0.90406,                0.99313,                0.99083,                0.99453,                0.74837,                0.89207,                0.56016,                0.90286,               0.000284,               0.000284,               0.000284
                     15,                0.94735,                 0.5812,                0.91454,                0.99277,                0.99345,                0.99473,                0.75264,                0.87572,                 0.5409,                0.90098,               0.000152,               0.000152,               0.000152
